accion_id,hallazgo_id,tipo,auditor,dependencia,accion,objetivo,indicador,unidad_medida,meta,recursos,fecha_inicio,fecha_fin,descripcion,denominacion_medida,ejecutor_login,ejecutor_name,ejecutor_email,ejecutor_rol
1,1,,rberdugo,OACI,"REALIZAR TRIMESTRAMENTE EL SEGUIMIENTO DE LAS ACCIONES PROPUESTAS POR LAS DEPENDENCIAS, DESDE EL APLICATIVO DE PLNA DE MEJORMIENTO",,NO DE INFORMES PRESENTADOS POR DEPENDENCIAS/ NO DE ACCIONES CERRADAS,NO DE INFORMES PRESENTADOS POR DEPENDENCIAS/ NO DE ACCIONES CERRADAS,1,,2017-08-01,2018-05-31,,,auditor,Jefe Oficina Asesora de Control Interno,auditor@udistrital.edu.co,2
2,2,,rberdugo,BI,"MANTENER ACTUALIZADAS LAS ESTADISTICAS DE FORMA DIARIA  Y MANUAL DE LOS ESTUDIANTES QUE UTILIZAN EL SERVICIO DEL APOYO ALIMENTARIO  EN EL PERÍODO ACADÉMICO, CON INDICADORES DE GESTIÓN Y DE RESULTADO  CON LOS SOPORTES QUE PERMITAN SUSTENTAR LAS MISMAS.",,NÚMERO DE BASES ACTUALIZADAS/NÚMERO DE BASES EXISTENTES,NÚMERO DE BASES ACTUALIZADAS/NÚMERO DE BASES EXISTENTES,1,,2017-09-01,2018-06-30,,,bienestarud,Jefe Bienestar Institucional,bienestarud@udistrital.edu.co,2
3,2,,rberdugo,BI,"PRESENTAR LA NECESIDAD ANTE LA VICERRECTORIA ACADÉMICA Y RECTORÍA PARA CREAR UN APLICATIVO QUE PERMITA REALIZAR EL REGISTRO DEL APOYO ALIMENTARIO DE MANERA AUTOMÁTICA, PARA ESTABLECER LAS ESTADISTICAS DEL SERVICIO PRESTADO Y ASÍ EVALUAR LA EFICACIA DEL MI",,NECESIDAD PRESENTADA/ PRESUPUESTO APROBADO,NECESIDAD PRESENTADA/ PRESUPUESTO APROBADO,1,,2017-09-01,2018-06-30,,,bienestarud,Jefe Bienestar Institucional,bienestarud@udistrital.edu.co,2
4,3,,rberdugo,DRH,"CRUZAR Y VERIFICAR MENSUALMENTE LA BASE DE DATOS INICIAL Y FINAL CON LA CONTINUA CONSULTA EN LA BASE DE DATOS ÚNICA DE AFILIADOS – BDUA - FOSYGA, PARA IDENTIFICAR EL NÚMERO DE FALLECIDO QUE SE DEBEN REPORTAR A COMPENSAR EPS – PLAN ADICIONAL DE SALUD, PARA",,NUMERO DE FALLECIDOS/ NO DE RETIRADSO DE LA BASE DE DATOS,NUMERO DE FALLECIDOS/ NO DE RETIRADSO DE LA BASE DE DATOS,1,,2017-09-01,2018-06-30,,,rechumanos,Jefe de División de Recursos Humanos,rechumanos@udistrital.edu.co,2
5,4,,rberdugo,OAJ,REALIZAR EL ANÁLISIS PREVIO A LAS NECESIDADES QUE LA UNIVERSIDAD REQUIERE PARA LA CONTRATACIÓN.,,NO DE OFERTAS/ NO DE OFERTAS APROBADAS,NO DE OFERTAS/ NO DE OFERTAS APROBADAS,1,,2017-09-01,2018-06-30,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
6,5,,rberdugo,OAPC,SEGUIMIENTO POR EL SUPERVISOR DE ACUERDO CON LO ESTIPULADO EN EL MANUAL DE SUPERVISIÓN  RESOLUCIÓN 629 DE 2016,,SEGUIMIENTO REALIZADOS  / SEGUIMIENTOS PROGRAMADOS,SEGUIMIENTO REALIZADOS  / SEGUIMIENTOS PROGRAMADOS,1,,2017-08-01,2018-07-28,,,planeac,Jefe Oficina Asesora de Planeación y Control,planeac@udistrital.edu.co,2
7,6,,rberdugo,RED RITA,REALIZACIÓN Y APLICACIÓN DE CHECKLIST PARA VERIFICACIÓN DE LOS DOCUMENTOS DE ANÁLISIS NECESARIOS PARA CADA PROCESO DE COMPRA DE LA RED. A TRAVÉS DE FORMULARIO EN LÍNEA.,,DOCUMENTOS DE ANALISIS DE PROCESO COTRACTUAL/DOCUMENTOS NECESARIOS CHECK LIST,DOCUMENTOS DE ANALISIS DE PROCESO COTRACTUAL/DOCUMENTOS NECESARIOS CHECK LIST,"0,9",,2017-08-01,2018-07-28,,,rita,Director de Rita,rita@udistrital.edu.co,2
8,6,,rberdugo,RED RITA,"APLICACIÓN DE MATRIZ DE RIESGOS CONTRACTUALES Y TÉCNICOS PARA CADA UNA DE LAS COMPRAS DE LA RED EN LA CUAL SE EVALUEN, LAS GARANTÍAS Y PÓLIZAS NECESARIAS PARA EL PROCESO, SEGÚN SU NATURALEZA.",,PROCESOS CONTRACTUALES CUYO ANÁLISIS DE RIESGOS EN REALIZADO/ NO. TTL PROCEOS CONTRACTUALES,PROCESOS CONTRACTUALES CUYO ANÁLISIS DE RIESGOS EN REALIZADO/ NO. TTL PROCEOS CONTRACTUALES,1,,2017-08-01,2018-07-28,,,rita,Director de Rita,rita@udistrital.edu.co,2
9,6,,rberdugo,RED RITA,"CREACIÓN DE VIDEOS DONDE SE EXPLIQUEN LAS CARACTERÍSTICAS DE LAS PÓLIZAS Y GARANTÍAS Y SENSIBILIZACIÓN PARA EL PERSONAL DE LA RED CON EL FIN DE QUE CONOZCAN LOS ASPECTOS VITALES PARA SU ELECCIÓN, DE ACUERDO CON LA NATURALEZA DE LOS DIFERENTES PROCESOS CON",,NO. DE CONTRATISTAS QUE REIBEN SENCIBILIZACIÓN Y APRUEBAN /NO. TTL DE CONTRATIISTAS RED RITA,NO. DE CONTRATISTAS QUE REIBEN SENCIBILIZACIÓN Y APRUEBAN /NO. TTL DE CONTRATIISTAS RED RITA,1,,2017-08-01,2018-07-28,,,rita,Director de Rita,rita@udistrital.edu.co,2
10,7,,rberdugo,OAJ,SEGUIMIENTO POR EL SUPERVISOR DE ACUERDO CON LO ESTIPULADO EN EL MANUAL DE SUPERVISIÓN  RESOLUCIÓN 629 DE 2016,,SEGUIMIENTO REALIZADOS  / SEGUIMIENTOS PROGRAMADOS,SEGUIMIENTO REALIZADOS  / SEGUIMIENTOS PROGRAMADOS,1,,2017-08-01,2018-07-28,,,juridica,Jefe Ofiicna  Asesora Juridica,juridica@udistrital.edu.co,2
