avances_id,accion_id,descripcion,fecha_corte,estado,porcentaje,tipo_calificacion
1,1,"Se realiza seguimiento al plan de mejorameinto en el mes de noviembre, se evidencia en las actas que se levanto con cada unas de las oficinas.",31/10/2018,en_progreso,,
2,2,"Se adjuntan las estadisticas mensuales actualizadas

Documentos en excel del seguimiento realizado los cuales se encuentran en el Archivo Winzip de nombre ""Estadisticas""

Documentos en excel del seguimiento realizado los cuales se encuentran en el Archivo",31/10/2018,en_progreso,,
3,3,"Se radico el  11/12/2017  el Oficio con # de radicado 2017IE34005 con los soportes de los hallazgos 2.1.3.2.15 a la oficina de Control Interno.

Archivo en formato WinZip con el nombre ""Hallazgo 2.1.3.2.15_Actividad No. 3""
Se adjuntan los soportes de las ",31/10/2018,en_progreso,,
4,4,"
El 03/05/2018 con # de radicado 2018IE12319 se radico a la Oficina de Asesora de Asuntos Disciplinarios los soportes de gestión del hallazgo 2.1.3.2.15

Soportes de los documentos radicados dando respuesta sobre estos hallazgos en archivo PDF y tiene por",31/10/2018,en_progreso,,
5,5,"En lo que compete a elaboración de estudios previos de contratos de prestación de Servicios del proyecto del hallazgo, en la Oficina Asesora Juridica se podra encontrar dicha información.
Los numeros de los contratos de prestación de servicios del proyect",31/10/2018,en_progreso,,
6,6,"Se realiza la socialización sobre el correcto diligencinamiento de actas al personal del proyecto del hallazgo.
Y realizada la socialización, esta actividad se puede dar por cumplida

Acta de la socialización y listado de asistencia en archivo PDF con el ",31/10/2018,en_progreso,,
7,7,"Se realiza seguimiento mensual al diligencionamiento de las actas elaborada del proyecto.

Actas que evidencian el seguimiento realizado en los meses de Septiembre y Octubre en archivo PDF con el nombre "" Hallazgo 3.1.3.2.12 _No 186 """,31/10/2018,en_progreso,,
8,8,"Teniendo en cuenta la descripción del plan de mejoramiento, se creó la matriz de riesgos contractuales y técnicos de las compras dentro de la dependencia.  

Se adjunta documento (Matriz) implementado dentro de las compras realizadas por la dependencia RI",31/10/2018,en_progreso,,
9,9,"Se implementó un video en donde se explica la respectiva información de las pólizas y garantías al personal tanto de la dependencia como en la Institución en general, por lo que el mencionado fue publicado en los medios audiovisuales de la Universidad. De",31/10/2018,en_progreso,,
10,10,"Es un tema de responsabilida del Supervisor, La Oficina Juridica no hace seguimiento, apoya la labor del supervisor.  Se adjunta informe de seguimiento al contrato realizado por el supervisor, el cual se encuentra en el expediente contractual,",31/10/2018,en_progreso,,
11,11,"Esta actividad se encuentra en el 100% de ejecución.

1.Se requirió cronograma a los gestores de los proyectos de inversión Nos.188, 382 y 4150, los cuales enviaron vía correo electrónico.   

2. En cuanto a los proyectos 378, 379, 380, 4149 y 389, se rea",31/10/2018,en_progreso,,
12,12,"La Sección de Contabilidad ha realizado el cruce de información con las áreas que han allegado la información, para lo cual se adjuntan los respectivos soportes. 

2.3.1.1 Acta Reunión Cuentas Por Pagar Cruce información Humanos.pdf                       ",31/10/2018,en_progreso,,
13,13,"La división de recursos humanos realizó mesa de trabajo con la Sección de contabilidad para realizar la conciliación de los mayores valores pagados. 

Se anexa acta con los portes de la reunión",31/10/2018,en_progreso,,
14,14,,31/10/2018,en_progreso,,
15,15,"De acuerdo al seguimiento realizado con IDEXUD, harán entrega del acto administrativo donde se presenta el esquema de reducción,.",31/10/2018,en_progreso,,
